class,method,path,request_fields
home.statistic.AccSocketStatApi,c,device/stat/socket,"beginDate,dateType,deviceId,endDate"
home.statistic.BatteryStatApi,c,device/stat/battery,"beginDate,dateType,deviceId,endDate"
home.statistic.CtStatApi,c,device/stat/ct,"beginDate,dateType,deviceId,endDate"
home.statistic.DeviceStatDeviceStatistic,b,device/stat/deviceStatistic,deviceId
home.statistic.DeviceStatSocketStatistic,b,device/stat/smartSocketStatistic,smartSocketId
home.statistic.DeviceStatSystemStatistic,b,device/stat/systemStatistic,systemId
home.statistic.EpsStatApi,c,device/stat/eps,"beginDate,dateType,deviceId,endDate"
home.statistic.HomeStatApi,c,device/stat/onGrid,"beginDate,dateType,deviceId,endDate"
home.statistic.PvStatApi,c,device/stat/pv,"beginDate,dateType,deviceId,endDate,systemId"
home.statistic.SysBatteryStatApi,c,device/stat/sys/battery/trends,"beginDate,dateType,endDate,systemId"
home.statistic.SysHomeStatApi,c,device/stat/sys/home/trends,"beginDate,dateType,endDate,systemId"
home.statistic.SysPvStatApi,c,device/stat/sys/pv/trends,"beginDate,dateType,endDate,systemId"
shelly.ShellyAuthUrlApi,c,wss-cloud/device/shelly/auth-url,
shelly.ShellyBindingFailuresApi,b,device/shelly/binding/failures,state
shelly.ShellyDeviceControlApi,c,wss-cloud/device/shelly/device/control,"action,deviceId,function"
shelly.ShellyDevicesApi,c,device/shelly/devices,
shelly.ShellyRealDataApi,b,wss-cloud/device/shelly/device/realtime-power,deviceId
shelly.ShellyUnbindAccountApi,c,wss-cloud/device/shelly/unbind/account,
shelly.ShellyUnbindDeviceApi,c,wss-cloud/device/shelly/unbind/device,"bindingId,deviceId"
